species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_0_0|17_14_3,0_0_0|16_13_4,14.46772,144.7,8844.27832,7849.80371,105,99.0
H2O,0_0_0|17_14_4,0_0_0|16_13_3,14.46772,144.7,8844.27832,7849.80371,35,33.0
H2O,0_0_0|17_13_5,0_0_0|16_12_4,14.64871,125.8,8440.21582,7458.02783,35,33.0
H2O,0_0_0|17_13_4,0_0_0|16_12_5,14.64871,125.8,8440.21582,7458.02783,105,99.0
H2O,0_0_0|18_11_7,0_0_0|17_10_8,14.68765,93.55,8274.19434,7294.61182,37,35.0
H2O,0_0_0|18_11_8,0_0_0|17_10_7,14.68822,93.53,8274.1875,7294.64307,111,105.0
H2O,0_0_0|16_16_1,0_0_0|15_15_0,14.79081,179.5,9050.1709,8077.42041,99,93.0
H2O,0_0_0|16_16_0,0_0_0|15_15_1,14.79081,179.5,9050.1709,8077.42041,33,31.0
H2O,0_0_0|16_15_1,0_0_0|15_14_2,14.86608,159.5,8650.41895,7682.59424,33,31.0
H2O,0_0_0|16_15_2,0_0_0|15_14_1,14.86608,159.5,8650.41895,7682.59424,99,93.0
H2O,0_0_0|17_12_6,0_0_0|16_11_5,14.88384,107.6,8044.375,7077.70459,35,33.0
